approve_expiration_time,available_quantity,commission_rate,id,is_approvable,order_id,status,creator.avatar_url,creator.content_count,creator.creator_open_id,creator.ec_video_view,creator.follower_count,creator.fulfillment_percentage,creator.gmv.amount,creator.gmv.currency,creator.nickname,creator.username,product.id,product.sku_id,product.sku_image_url,product.sku_name,product.title,fulfillment_status
1784465243,0,0.20,8071638529918731282,True,585104417565475858,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/7e0e7e9deac7e8fb6bf5a7a01946fb90~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=79d52838&x-expires=1784635200&x-signature=U3pr2d5BweTmvOLpsEkqE9P7y%2FM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,X1aBVgAAAACOV4AEeERJl-yievH_HBsssNiJ1Vc4xgf7Gvww7fmFDw,91,4460,100.00,20113.33,PHP,ms.ejin🥰,niniann13,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
1784465243,0,0.20,8071638529067484272,True,585104352097240176,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ee07ebfa9f51c4de195d856072d9ad61~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=54867e19&x-expires=1784635200&x-signature=hMurnZqIAvBUF6NTLV2HXu3i%2FQg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,8GwNQgAAAACOV4AEeERJl-yievH_HBssNxfIbk09hvc8KR68q8P_cw,127,10783,97.88,172209.93,PHP,Thamariah 🌸,marbs0127,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
1784465243,0,0.20,8071638525940041133,True,585104282697827757,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/61566befd1936acadb3a2b0987614233~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=80008c51&x-expires=1784635200&x-signature=yyKMd0P1HRzshdcnIpzNoqKV1Sk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,gJEHMwAAAACOV4AEeERJl-yievH_HBssZO45INE3zkugizrMeDE1gg,147,7816,96.75,289313.21,PHP,⋋✿ ⁰ MJ 725 ⁰ ✿⋌,mj101tshopssss,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
1784465243,0,0.20,8071638520435148651,True,585104282054264683,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/fb418dac134947e6394a2f522bb28bec~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=0bfff1f6&x-expires=1784635200&x-signature=C5RroO%2BF5j2SB1qSBvNywtrFaWo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,EEwHPAAAAACOV4AEeERJl-yievH_HBssuCoxhgiH-vok_h4C2NOGxw,86,1132,63.64,27087.37,PHP,JERUS 🫶✨💫,jhe2001,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
1784465243,0,0.20,8071638516159645624,True,585104181847164856,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/375eb7c58db8419d3317694f26387847~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=6631036a&x-expires=1784635200&x-signature=fDCF3%2FjqTi8wHJDDOGlflDjX3og%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,Xm5fKwAAAACOV4AEeERJl-yievH_HBssSLIoYkZeKO4xbj2wOVy-SQ,223,70191,98.73,562850.64,PHP,colt shop🧿🪬,maryanshop79,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
1784465243,0,0.20,8071638514960861028,True,585104131458303844,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/bdeb409d00a59a8039ec0dd2bfc28e94~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=4032f092&x-expires=1784635200&x-signature=Ci3Xk29TWiHbp1HYaHhMufGnYTc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,NbD1GwAAAACOV4AEeERJl-yievH_HBssZXURpYrPBzLYeg8ytG1rZA,232,3468,98.80,60060.91,PHP,OKRA QUEEN👑🌱,okraqueen17,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
1784465243,0,0.20,8071638498726479564,True,585104010947167948,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/7329118598532694023~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=5c162a68&x-expires=1784635200&x-signature=1zyehnVRgPhwH7X96GjNIPC3D1U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,pNxr1AAAAACOV4AEeERJl-yievH_HBssr7IY_IEH95lTU0D-msXUyw,439,9247,95.71,33443.55,PHP,Beverly Nuñez,mommie_bhev3012,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
1784465243,0,0.20,8071638495515739963,True,585103976992835387,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/f69f940ce4944edb97c54a4fd1f223cb~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=29edbfc4&x-expires=1784635200&x-signature=k4QJ2XdR9lxXPIZovojLBQtsE3A%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,AUqCKAAAAACOV4AEeERJl-yievH_HBssw28bA2oz9fpymUfcYN20Qw,10,1121,98.36,16417.7,PHP,AviannaRaine,itsjesassyonig,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
1784465243,0,0.20,8071638486944547979,True,585103863889757323,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/41c59ca56d52b686598cd702824d76f2~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=99fe2b38&x-expires=1784635200&x-signature=9cfU%2BtbNbhRzTtxffUxjsY4sNbQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,BlIWvAAAAACOV4AEeERJl-yievH_HBssnBZVdnoI98qf64K8pKrUrQ,73,1770,0,7157.7,PHP,clarah.marieee ✨🌷,clarah.marieeee,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
1784465243,0,0.20,8071638493308159175,True,585103863889822919,AWAITING_SHIPMENT,https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/b0224729b44471e75bec5486ca6cf5ed~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14579&refresh_token=d1e85d0c&x-expires=1784635200&x-signature=uQbn6Huvowuicj5jCp7H8GId6%2Fc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=e326b0ff&idc=my2,0,N3STEwAAAACOV4AEeERJl-yievH_HBssuXXztmRAFMahQpEfpmW9sA,50,6406,93.33,9675.47,PHP,momma jing❤️,janebalateriavelascocom0,1734810555690551128,1734810555690616664,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/09568cf36c644d10b3e53f33670c3e5d~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&t=555f072d&ps=933b5bde&shp=e326b0ff&shcp=3c3d9ffb&idc=my2&from=3810963711,Default,"Vitami PMS Relief Gummies 12pcs – Chasteberry Herbal Blend Supplement for Period Discomfort, Dysmenorrhea & Mood Balance",
